"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"The Hup",,"0","Maliebaan 75","Utrecht",,"NL","https://www.thehup.nl/","+31 30 240 0511","Consultant","https://www.google.com/maps/search/?api=1&query=The%20Hup&query_place_id=ChIJH7usak1vxkcRLiiRg4IqyK4"
"Skanna Horeca Uitzendbureau","5","2","Wolvenplein 25","Utrecht",,"NL",,"+31 30 207 4094","Temp agency","https://www.google.com/maps/search/?api=1&query=Skanna%20Horeca%20Uitzendbureau&query_place_id=ChIJnVwosGRvxkcRMtdfQrwhHZE"
"Kompas uitzend- en personeelsdiensten",,"0","Rijnlaan 12","Utrecht",,"NL","http://www.kompas-uitzendbureau.nl/","+31 6 54918578","Temp agency","https://www.google.com/maps/search/?api=1&query=Kompas%20uitzend-%20en%20personeelsdiensten&query_place_id=ChIJpQh1mvZlxkcRiQ50LxpjYtw"
"Rvaring uitzendbureau 40+ & 65+","4.8","73","Atoomweg 272","Utrecht",,"NL","http://www.rvaring.nl/","+31 85 744 0962","Temp agency","https://www.google.com/maps/search/?api=1&query=Rvaring%20uitzendbureau%2040%2B%20%26%2065%2B&query_place_id=ChIJJ8zx7M9vxkcRz4X26cdw8x0"
"VNOM | We get the job done","4.8","126","Orteliuslaan 875 - 889","Utrecht",,"NL","https://www.vnom.nl/","+31 30 307 9262","Temp agency","https://www.google.com/maps/search/?api=1&query=VNOM%20%7C%20We%20get%20the%20job%20done&query_place_id=ChIJW54xLMllxkcRzBe00c2eAKU"
"Uw Zorgbemiddelaar","3.2","9","Europalaan 40","Utrecht",,"NL","http://www.uwzorgbemiddelaar.nl/","+31 30 208 1823","Temp agency","https://www.google.com/maps/search/?api=1&query=Uw%20Zorgbemiddelaar&query_place_id=ChIJS_FWcrhvxkcREKa1G4hceV4"
"Naarding & Van der Meer Detachering B.V.","4.2","5","Rijnzathe 6","Utrecht",,"NL","http://www.naardingenvandermeer.nl/","+31 30 744 0004","Temp agency","https://www.google.com/maps/search/?api=1&query=Naarding%20%26%20Van%20der%20Meer%20Detachering%20B.V.&query_place_id=ChIJdQsK_-RvxkcR7jqUg3RRRMc"
"Student Zoekt Bijbaan",,"0","Orteliuslaan 23","Utrecht",,"NL","https://www.studentzoektbijbaan.nl/","+31 30 890 6812","Temp agency","https://www.google.com/maps/search/?api=1&query=Student%20Zoekt%20Bijbaan&query_place_id=ChIJGRF8hKznxUcRH82cUe0Sh8g"
"Even Werkt!",,"0","Herculesplein 88","Utrecht",,"NL","https://www.evenwerkt.nl/","+31 30 711 6474","Temp agency","https://www.google.com/maps/search/?api=1&query=Even%20Werkt!&query_place_id=ChIJRZYi7FpkxkcRM1JCSezkNt8"
"beldoo.nl","4","25","Reykjavikstraat 1","Utrecht",,"NL","http://www.beldoo.nl/",,"Temp agency","https://www.google.com/maps/search/?api=1&query=beldoo.nl&query_place_id=ChIJ39ohLIpvxkcRyd_hLTbh3H0"
"Carrière Utrecht","4.7","23","Musicallaan 75-B","Utrecht",,"NL","https://www.carriere.com/over-carriere/vestigingen/vestiging-carriere-utrecht","+31 30 303 6401","Employment agency","https://www.google.com/maps/search/?api=1&query=Carri%C3%A8re%20Utrecht&query_place_id=ChIJwRP8BRhvxkcRWAaB0_22D8U"
"Doorwerker.nl",,"0","Euclideslaan 253","Utrecht",,"NL","http://www.doorwerker.nl/","+31 88 220 0222","Unemployment office","https://www.google.com/maps/search/?api=1&query=Doorwerker.nl&query_place_id=ChIJI0ND8phpxkcRaTyTfei5ly0"
"UBN Uitzendbureau Utrecht","4.1","46","Biltstraat 22A","Utrecht",,"NL","https://www.ubnuitzendbureau.com/vestiging/uitzendbureau-utrecht/?utm_source=Google-Business","+31 30 271 4717","Temp agency","https://www.google.com/maps/search/?api=1&query=UBN%20Uitzendbureau%20Utrecht&query_place_id=ChIJdZNl0E5vxkcRQYfvmQmorKY"
"Work-on Uitzendbureau - Utrecht","4.1","14","Herculesplein 355A","Utrecht",,"NL","http://www.work-on.nl/","+31 30 636 5009","Temp agency","https://www.google.com/maps/search/?api=1&query=Work-on%20Uitzendbureau%20-%20Utrecht&query_place_id=ChIJDyjrjQJmxkcRduOWDaJl2d4"
"AFF Recruitment & Executive Search","5","21","Oudegracht 27","Utrecht",,"NL","https://affrecruitment.nl/","+31 6 34107500","Recruiter","https://www.google.com/maps/search/?api=1&query=AFF%20Recruitment%20%26%20Executive%20Search&query_place_id=ChIJJ-F3aA7ixUcRdD90zgpBye0"
"XL Studenten Uitzendbureau Utrecht","3.9","24","Herculesplein 241","Utrecht",,"NL","http://www.xluitzendbureau.nl/","+31 30 744 0500","Temp agency","https://www.google.com/maps/search/?api=1&query=XL%20Studenten%20Uitzendbureau%20Utrecht&query_place_id=ChIJzd-4IKhoxkcRuamFc_-CI-o"
"Adecco","4.8","29","Euclideslaan 1","Utrecht",,"NL","https://www.adecco.nl/vacatures/utrecht","+31 30 233 0130","Employment agency","https://www.google.com/maps/search/?api=1&query=Adecco&query_place_id=ChIJk6HGb2xvxkcRBkQsnv92n1A"
"Certus Groep Utrecht",,"0","Nieuwegracht 6","Utrecht",,"NL","http://www.certusgroep.nl/","+31 88 011 5000","Human resource consulting","https://www.google.com/maps/search/?api=1&query=Certus%20Groep%20Utrecht&query_place_id=ChIJuz-Q81sLxkcRhPI-UZQDAw8"
"FC Utrecht Werkt","5","3","Herculesplein 241","Utrecht",,"NL","https://www.fcutrechtwerkt.nl/","+31 30 303 6383","Temp agency","https://www.google.com/maps/search/?api=1&query=FC%20Utrecht%20Werkt&query_place_id=ChIJLw-kdZZnxkcRKsd0AR1a1io"
"Kracht Recruitment Utrecht",,"0","Leidseveer 2","Utrecht",,"NL","https://www.vanuitkracht.nl/?utm_source=Google&utm_medium=Google%20Mijn%20bedrijf&utm_campaign=Utrecht","+31 26 702 4490","Human resource consulting","https://www.google.com/maps/search/?api=1&query=Kracht%20Recruitment%20Utrecht&query_place_id=ChIJMVyISvpvxkcRPR3m3KN5xWM"
"The Super Nice People","5","7","Wolvenplein 27","Utrecht",,"NL","http://www.thesupernicepeople.nl/","+31 85 073 2800","Temp agency","https://www.google.com/maps/search/?api=1&query=The%20Super%20Nice%20People&query_place_id=ChIJZ2MCaL5vxkcRnVjPXclB-Q0"
"WR.nl Recruitment","5","3","Newtonlaan 115","Utrecht",,"NL","https://www.wr.nl/","+31 30 808 0170","Human resource consulting","https://www.google.com/maps/search/?api=1&query=WR.nl%20Recruitment&query_place_id=ChIJz9HSGrBoxkcR7NvgbY--upo"
"Actief Werkt! Uitzendbureau bij UMC",,"0","Padualaan 101","Utrecht",,"NL","https://www.actiefwerkt.nl/vacatures/umc","+31 6 53305305","Temp agency","https://www.google.com/maps/search/?api=1&query=Actief%20Werkt!%20Uitzendbureau%20bij%20UMC&query_place_id=ChIJY7XruU5vxkcRzmllCAGbRMc"
"Go:Office Recruitment","4.9","58","Goeman Borgesiuslaan 77","Utrecht",,"NL","https://go-office.nl/","+31 88 240 9070","Temp agency","https://www.google.com/maps/search/?api=1&query=Go%3AOffice%20Recruitment&query_place_id=ChIJG1vtW0NvxkcRotaP9J1H2hk"
"Uitzendbureau ASA Talent Utrecht","3.3","7","Ganzenmarkt 22","Utrecht",,"NL","https://asatalent.nl/vestigingen/utrecht?utm_source=google&utm_medium=organic&utm_campaign=gmb-vestiging","+31 30 233 3444","Employment agency","https://www.google.com/maps/search/?api=1&query=Uitzendbureau%20ASA%20Talent%20Utrecht&query_place_id=ChIJFWS14URvxkcRcX7YHG9cV5E"
"Tempo-Team uitzendbureau Utrecht centrum","2.7","12","Biltstraat 24","Utrecht",,"NL","https://www.tempo-team.nl/vestigingen/1033/utrecht-biltstraat-24?utm_medium=organic&utm_source=GMB&utm_campaign=GMB_Utrecht","+31 30 272 7200","Employment agency","https://www.google.com/maps/search/?api=1&query=Tempo-Team%20uitzendbureau%20Utrecht%20centrum&query_place_id=ChIJhb9mh0RvxkcR1zExewTogbY"
"Searchr",,"0","Laan van Chartroise 170","Utrecht",,"NL","http://www.searchr.nl/","+31 30 200 3535","Temp agency","https://www.google.com/maps/search/?api=1&query=Searchr&query_place_id=ChIJEdiRhX1vxkcRaXKA-YEdrBQ"
"Vacature: www.meldbedrijf.nl / www.meldvacature.nl / www.jobsboarder.com / www.stageplaats.net",,"0","Geallieerdenlaan 1","Utrecht",,"NL",,"+31 6 55978228","Unemployment office","https://www.google.com/maps/search/?api=1&query=Vacature%3A%20www.meldbedrijf.nl%20%2F%20www.meldvacature.nl%20%2F%20www.jobsboarder.com%20%2F%20www.stageplaats.net&query_place_id=ChIJV7N-BYZlxkcRHicJVCCSUqw"
"Vacature receptionist Utrecht: home",,"0","Biltstraat 54","Utrecht",,"NL",,"+31 30 273 6100",,"https://www.google.com/maps/search/?api=1&query=Vacature%20receptionist%20Utrecht%3A%20home&query_place_id=ChIJ___jtk5vxkcRPOyoksZppRM"
"Vacature callcenter Utrecht",,"0","Vredenburg 30","Utrecht",,"NL","http://www.vacaturecallcenterutrecht.nl/contact/callstaff_utrecht.html","+31 30 232 4300",,"https://www.google.com/maps/search/?api=1&query=Vacature%20callcenter%20Utrecht&query_place_id=ChIJVVWq_EJvxkcRszBhKp72K3k"
"U-boss Uitzendbureau","3.7","3","Potterstraat 6","Utrecht",,"NL","http://www.u-bossuitzendbureau.nl/","+31 30 233 1144","Temp agency","https://www.google.com/maps/search/?api=1&query=U-boss%20Uitzendbureau&query_place_id=ChIJj4WAh0RvxkcRKGc4an6j920"
"NOWJOBS","4.5","93","Herculesplein 36","Utrecht",,"NL","https://www.nowjobs.nl/","+31 88 562 7000","Temp agency","https://www.google.com/maps/search/?api=1&query=NOWJOBS&query_place_id=ChIJNbTjAfNpxkcRIJxd0YWq444"
"Urgent Uitzendburo B.V.","4.8","10","Biltstraat 16","Utrecht",,"NL","https://urgent-uitzendburo.nl/","+31 30 231 6344","Temp agency","https://www.google.com/maps/search/?api=1&query=Urgent%20Uitzendburo%20B.V.&query_place_id=ChIJTXla105vxkcRillw4914x_Y"
"DuoZorg Uitzendbureau / DuoZorg FLEXpert Utrecht","3.5","2","Oud-Wulvenplantsoen 23","Utrecht",,"NL","https://www.duozorg.nl/","+31 30 284 4710","Temp agency","https://www.google.com/maps/search/?api=1&query=DuoZorg%20Uitzendbureau%20%2F%20DuoZorg%20FLEXpert%20Utrecht&query_place_id=ChIJY_pWl_ZlxkcRXUWtGuRrOv8"
"Collistar",,"0","Winthontlaan 6","Utrecht",,"NL",,"+31 88 027 5840","Perfume store","https://www.google.com/maps/search/?api=1&query=Collistar&query_place_id=ChIJFeGOIuplxkcR9LC6gyFXydc"
"Employment Utrecht Young Capital","4.1","520","Arthur van Schendelstraat 500","Utrecht",,"NL","https://www.youngcapital.nl/uitzendbureau/utrecht","+31 30 238 0310","Temp agency","https://www.google.com/maps/search/?api=1&query=Employment%20Utrecht%20Young%20Capital&query_place_id=ChIJzebt2l9vxkcR6OCdsK6c-Cs"
"Independent Artists Agency",,"0","Ien Dalessingel 1C","Utrecht",,"NL","http://www.independent-artistsagency.com/",,"Event planner","https://www.google.com/maps/search/?api=1&query=Independent%20Artists%20Agency&query_place_id=ChIJSVGvNI9lxkcR4t-SUy76sMA"
"My Sales Recruiter","5","1","Europalaan 100","Utrecht",,"NL","https://www.mijnsalesrecruiter.nl/","+31 30 303 9210","Recruiter","https://www.google.com/maps/search/?api=1&query=My%20Sales%20Recruiter&query_place_id=ChIJDwQks4_8xkcRJkM0YM-n4A8"
"Daan Utrecht","5","11","Maliebaan 80B","Utrecht",,"NL","http://www.daan.eu/","+31 10 300 9107","Unemployment office","https://www.google.com/maps/search/?api=1&query=Daan%20Utrecht&query_place_id=ChIJl1yw8bFoxkcRy7hil1zEj0Y"
"Locobrands B.v.","2.8","6","Zonnebaan 34","Utrecht",,"NL","https://locobrands.nl/","+31 30 261 8086","Marketing agency","https://www.google.com/maps/search/?api=1&query=Locobrands%20B.v.&query_place_id=ChIJ__9v8dZvxkcRPIiJXwpnCZ0"
"Serenco Nederland B.V.","5","3","Positronweg 12","Utrecht",,"NL","http://www.serenco.nl/","+31 30 241 5011","Equipment importer","https://www.google.com/maps/search/?api=1&query=Serenco%20Nederland%20B.V.&query_place_id=ChIJ-4J-fNRvxkcRnnkLQHS7IWc"
"Johannes Hospice Foundation Vleuten","4.8","68","Kloosterweide 2","Utrecht",,"NL","https://www.hospitiumvleuten.nl/","+31 30 677 5013","Foundation","https://www.google.com/maps/search/?api=1&query=Johannes%20Hospice%20Foundation%20Vleuten&query_place_id=ChIJlVKPYT1wxkcRulKw_rkAjBg"
"The Solutionz Group B.V.","4.8","21","Savannahweg 60","Utrecht",,"NL","http://www.thesolutionzgroup.com/","+31 30 227 1690","Computer consultant","https://www.google.com/maps/search/?api=1&query=The%20Solutionz%20Group%20B.V.&query_place_id=ChIJAYPIkg1vxkcRtiX68Dk8qVo"
"Handelsonderneming Suilen B.V.","4.7","7","Coloradodreef 21-23","Utrecht",,"NL","https://www.suilen.nl/","+31 30 262 8424","Warehouse","https://www.google.com/maps/search/?api=1&query=Handelsonderneming%20Suilen%20B.V.&query_place_id=ChIJiS2iW1VuxkcRwapDI96FxhY"
"LikeLegal","5","1","Prinsenboslaan 2","Utrecht",,"NL","https://www.likelegal.nl/","+31 30 785 0072","Recruiter","https://www.google.com/maps/search/?api=1&query=LikeLegal&query_place_id=ChIJqaxxme1lxkcRJig1HNr0vm8"
"JAM Utrecht","4","1","Vleutensevaart 100","Utrecht",,"NL","https://www.jongerenarbeidsmarkt.nl/?utm_source=Google&utm_medium=Organisch&utm_campaign=Mijn+bedrijf&utm_content=Utrecht","+31 40 340 0222","Employment agency","https://www.google.com/maps/search/?api=1&query=JAM%20Utrecht&query_place_id=ChIJvaX-J_NvxkcR9TxYmT49Csk"
"JobsforMoms",,"0","Van Brammendreef 165","Utrecht",,"NL","http://www.jobsformoms.nl/","+31 6 38479597","Unemployment office","https://www.google.com/maps/search/?api=1&query=JobsforMoms&query_place_id=ChIJk1j6svFvxkcR_CB_T7uMqLY"
"Leisureworkers","5","2","Burgemeester van Tuyllkade 37B","Utrecht",,"NL","https://leisureworkers.com/","+31 6 27185616","Recruiter","https://www.google.com/maps/search/?api=1&query=Leisureworkers&query_place_id=ChIJ0UjqaJQJx0cRHKsEVI8Imt4"
"The Impact Group B.V.","5","10","Maliestraat 3","Utrecht",,"NL","http://impactgroup.nl/","+31 85 239 2100","Unemployment office","https://www.google.com/maps/search/?api=1&query=The%20Impact%20Group%20B.V.&query_place_id=ChIJKyoJ-EVvxkcRjVUJ___p4hM"
"Toerisme Vacatures Utrecht",,"0","Vleutenseweg 489","Utrecht",,"NL",,"+31 113 573 392","Travel agency","https://www.google.com/maps/search/?api=1&query=Toerisme%20Vacatures%20Utrecht&query_place_id=ChIJ55SErVpvxkcR-oCOjDxoFnI"
"Flo Zorgprofessionals","3","2","Stobberakplantsoen 11","Utrecht",,"NL","https://www.flo-zorgprofessionals.nl/","+31 6 51701884","Temp agency","https://www.google.com/maps/search/?api=1&query=Flo%20Zorgprofessionals&query_place_id=ChIJG9AHg4tvxkcRuF2vh_xGaD0"
"Brunel Utrecht","4.2","42","Winthontlaan 6J","Utrecht",,"NL","http://www.brunel.net/","+31 20 312 5000","Recruiter","https://www.google.com/maps/search/?api=1&query=Brunel%20Utrecht&query_place_id=ChIJfZHCYQJmxkcRzIXrM7m2HWA"
"Work N Joy",,"0","Maarssenbroeksedijk 13","Utrecht",,"NL","https://www.workandjoy.nl/contact/","+31 6 48966223","Temp agency","https://www.google.com/maps/search/?api=1&query=Work%20N%20Joy&query_place_id=ChIJlyfTe9RvxkcRVgNPWM9Apto"
"Strevon | Omscholingstrajecten en vaste banen naar de techniek","4.5","64","Eendrachtlaan 102","Utrecht",,"NL","https://www.strevon.nl/",,"Learning center","https://www.google.com/maps/search/?api=1&query=Strevon%20%7C%20Omscholingstrajecten%20en%20vaste%20banen%20naar%20de%20techniek&query_place_id=ChIJx3eSMGllxkcRA95AXGEyGH8"
"Derec - Utrecht","4.6","14","Europalaan 400","Utrecht",,"NL","https://www.derec.nl/","+31 88 603 3880","Unemployment office","https://www.google.com/maps/search/?api=1&query=Derec%20-%20Utrecht&query_place_id=ChIJf49ATmBpxkcR4hPvWbcq0GE"
"Buro SRO",,"0","'t Goylaan 11","Utrecht",,"NL","http://www.buro-sro.nl/","+31 30 267 9198","Architect","https://www.google.com/maps/search/?api=1&query=Buro%20SRO&query_place_id=ChIJeWouDe9lxkcRr2uNfEwmIes"
"Buro Voor Jou","5","12","Atoomweg 63","Utrecht",,"NL","http://www.burovoorjou.nl/","+31 30 880 4960","Temp agency","https://www.google.com/maps/search/?api=1&query=Buro%20Voor%20Jou&query_place_id=ChIJfQeQBWxvxkcRPfW0hahqGLQ"
"TeamQ14","4.3","63","Orteliuslaan 23","Utrecht",,"NL","https://www.teamq14.nl/","+31 30 890 6812","Unemployment office","https://www.google.com/maps/search/?api=1&query=TeamQ14&query_place_id=ChIJybZ9hKznxUcRsH3yPoYICqA"
"MasterFind People B.V",,"0","Europalaan 500","Utrecht",,"NL","http://www.masterfind.nl/","+31 6 22562878","Recruiter","https://www.google.com/maps/search/?api=1&query=MasterFind%20People%20B.V&query_place_id=ChIJjy4SHMRvHAERaqo6Z9KG_P0"
"Ultimate People",,"0","Vliegend Hertlaan 15-97","Utrecht",,"NL","http://www.ultimate-people.nl/","+31 30 899 2399","Recruiter","https://www.google.com/maps/search/?api=1&query=Ultimate%20People&query_place_id=ChIJfR2Hd_xlxkcR3jWfOLFCPSE"
"TimmermanVacature.nl","3.7","3","Tennesseedreef 13R","Utrecht",,"NL","https://www.timmermanvacature.nl/","+31 88 706 0802","Corporate office","https://www.google.com/maps/search/?api=1&query=TimmermanVacature.nl&query_place_id=ChIJGaxdYlFuxkcR_3UeRqORFdA"
"Recruitment voor Overheid Vacatures",,"0",,"nederland",,"NL",,"+31 6 30501096","Recruiter","https://www.google.com/maps/search/?api=1&query=Recruitment%20voor%20Overheid%20Vacatures&query_place_id=ChIJ9e5gnd1vxkcR7fmVz3APiXo"
"Office Select Flexbureau B.V.",,"0","Pablo Picassostraat 154","Utrecht",,"NL","https://www.officeselect.nl/","+31 6 45322593","Temp agency","https://www.google.com/maps/search/?api=1&query=Office%20Select%20Flexbureau%20B.V.&query_place_id=ChIJRZAu_OFvxkcR3aCioP65Jm0"
"SchilderVacature.nl",,"0","Tennesseedreef 13P","Utrecht",,"NL","http://schildervacature.nl/","+31 88 706 0801","Corporate office","https://www.google.com/maps/search/?api=1&query=SchilderVacature.nl&query_place_id=ChIJOemb2DNvxkcREpuFQySCDog"
"Recruitment Solutionz",,"0","Savannahweg 60","Utrecht",,"NL","https://www.recruitment-solutionz.com/","+31 30 227 1690","Unemployment office","https://www.google.com/maps/search/?api=1&query=Recruitment%20Solutionz&query_place_id=ChIJJzcRKJFvxkcR-sOlYep_jd8"
"Boom recruitment","5","1","Californiëdreef 23","Utrecht",,"NL","http://www.boomrecruitment.nl/","+31 6 58949010","Unemployment office","https://www.google.com/maps/search/?api=1&query=Boom%20recruitment&query_place_id=ChIJNQEZhwhvxkcRLv60J5Xa30Y"
"Matchmakerz Bouw & Techniek",,"0","Zonnebaan 18","Utrecht",,"NL","http://matchmakerz.nl/","+31 30 245 1651","Recruiter","https://www.google.com/maps/search/?api=1&query=Matchmakerz%20Bouw%20%26%20Techniek&query_place_id=ChIJs2ZuvdZvxkcRagCuVFzUqUE"
"CareAbout","3.8","4","Vleutenseweg 386","Utrecht",,"NL","http://www.care-about.nl/","+31 85 130 2244","Medical office","https://www.google.com/maps/search/?api=1&query=CareAbout&query_place_id=ChIJ922ddApvxkcRACwRRE6-4J0"
"Dag1","4.7","71","Atoomweg 63","Utrecht",,"NL","http://www.dag1.nl/","+31 30 700 9765","Employment agency","https://www.google.com/maps/search/?api=1&query=Dag1&query_place_id=ChIJodBBMm9vxkcROIRHBCwV8DI"
"Trend People De Meern","5","2","Rijksstraatweg 96","Utrecht",,"NL","http://www.trend.nl/","+31 30 666 5624","Temp agency","https://www.google.com/maps/search/?api=1&query=Trend%20People%20De%20Meern&query_place_id=ChIJr9ckSFZlxkcROI5tZ9EA0YI"
"Vitec",,"0","Savannahweg 68","Utrecht",,"NL","https://www.vitec.nl/","+31 88 180 1288","Consultant","https://www.google.com/maps/search/?api=1&query=Vitec&query_place_id=ChIJ9Yzqw4RvxkcR2SgGOBeVDqU"
"Bart Vink & Partners","5","35","Atoomweg 63","Utrecht",,"NL","http://www.bartvinkenpartners.nl/","+31 30 320 0250","Recruiter","https://www.google.com/maps/search/?api=1&query=Bart%20Vink%20%26%20Partners&query_place_id=ChIJYUDhNoxlxkcRG_xarLmue8g"
"De Roo interim, werving en trainingen voor onderwijs","4","1","Reykjavikstraat, Helix 1, gebouw, Ruimte M.26","Utrecht",,"NL","http://www.deroo.nl/","+31 88 552 2999","Consultant","https://www.google.com/maps/search/?api=1&query=De%20Roo%20interim%2C%20werving%20en%20trainingen%20voor%20onderwijs&query_place_id=ChIJ61lUVLNoxkcR20DYnPuJb-I"
"PDZ Uitzendbureau Utrecht","4.9","18","Ella Fitzgeraldplein 1","Utrecht",,"NL","https://www.pdz.nl/contact/vestigingen/utrecht","+31 30 307 4002","Temp agency","https://www.google.com/maps/search/?api=1&query=PDZ%20Uitzendbureau%20Utrecht&query_place_id=ChIJ8Zwrm-hvxkcRGPuOXeh1RE8"
"V.O.F. Bosman & Vos","4.8","4","Stadsplateau 29","Utrecht",,"NL","https://www.bosmanvos.nl/","+31 85 043 0568","Business management consultant","https://www.google.com/maps/search/?api=1&query=V.O.F.%20Bosman%20%26%20Vos&query_place_id=ChIJaTzNGe62xUcRmszWyxxKqJ0"
"Vigr",,"0","Savannahweg 68","Utrecht",,"NL","https://www.vigr.nl/","+31 88 180 1280","Executive search firm","https://www.google.com/maps/search/?api=1&query=Vigr&query_place_id=ChIJJ8OQOdZvxkcRfE-nWCMLokw"
"Networkapp",,"0","Postadres:, Theo van Doesburgstraat 48","Utrecht",,"NL","https://networkapp.com/","+31 30 227 0660","Event technology service","https://www.google.com/maps/search/?api=1&query=Networkapp&query_place_id=ChIJjXEuxy1vxkcRl3vag_M0Pjw"
"GawaloVacature","5","2","Tennesseedreef 13R","Utrecht",,"NL","https://gawalovacature.nl/","+31 88 706 0803","Corporate office","https://www.google.com/maps/search/?api=1&query=GawaloVacature&query_place_id=ChIJGaxdYlFuxkcR__VpAGf-rRs"
"Q-logic",,"0","Euclideslaan 51-67","Utrecht",,"NL","http://www.q-logic.nl/","+31 30 808 2924","Recruiter","https://www.google.com/maps/search/?api=1&query=Q-logic&query_place_id=ChIJOx2y9B9ExkcRENcc4LNrGOA"
"De Stadstuin Wolvenplein","4.5","2","Wolvenplein 27","Utrecht",,"NL","https://www.destadstuin.nl/","+31 30 207 2023","Real estate rental agency","https://www.google.com/maps/search/?api=1&query=De%20Stadstuin%20Wolvenplein&query_place_id=ChIJHXn0zVdvxkcRsAlWxQTRucY"
"De Wereld van Vermaat","5","1","Maliebaan 8","Utrecht",,"NL","http://www.dewereldvanvermaat.nl/","+31 30 204 5010","Investment company","https://www.google.com/maps/search/?api=1&query=De%20Wereld%20van%20Vermaat&query_place_id=ChIJaxsO4GJmxkcRKp7A9AdCywA"
"Aannemersbedrijf Bos & Zn.","3.5","11","Jeruzalemstraat 14","Utrecht",,"NL","https://www.aannemerbos.nl/","+31 30 220 2647","Construction company","https://www.google.com/maps/search/?api=1&query=Aannemersbedrijf%20Bos%20%26%20Zn.&query_place_id=ChIJk9ENNfdoxkcRfWnA9VXicSE"
"DNFS","5","7","Maliebaan 75","Utrecht",,"NL","https://www.dnfs.nl/","+31 30 820 1106","Unemployment office","https://www.google.com/maps/search/?api=1&query=DNFS&query_place_id=ChIJH7usak1vxkcRA0Zsx7s17RI"
